,name,info,image
83,ВиноЭльНиньоиЛаЛунаТинтокрасноесухое,"Испания, 0.75 л., Утель-Рекена, 13%",ВиноЭльНиньоиЛаЛунаТинтокрасноесухое.png
84,ВиноЭльНиньоиЛаЛунаБланкобелоесухое,"Испания, 0.75 л., Утель-Рекена, 11.5%",ВиноЭльНиньоиЛаЛунаБланкобелоесухое.png
85,ВиноЛармониРужВиндеБордокрасноесухое,"Франция, 0.75 л., Бордо, 13.5%",ВиноЛармониРужВиндеБордокрасноесухое.png
86,ВиноМариЛунаКабернеФранкрасноесухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",ВиноМариЛунаКабернеФранкрасноесухое.png
87,ВиноМариЛунаГарначаТинтореракрасноесухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",ВиноМариЛунаГарначаТинтореракрасноесухое.png
88,ВиноРиттерБлауфренкишШлоссРаггендорфкрасноесухое,"Австрия, 0.75 л., Бургенланд, 13%",ВиноРиттерБлауфренкишШлоссРаггендорфкрасноесухое.png
89,ВиноГриллобелоеполусухое,"Италия, 0.75 л., Сицилия, 12.5%",ВиноГриллобелоеполусухое.png
90,ВиноФортеццадеиКоллиНегроамарокрасноеполусухое,"Италия, 0.75 л., Апулия, 13%",ВиноФортеццадеиКоллиНегроамарокрасноеполусухое.png
91,ВиноТенутеДельНеччиоРоссокрасноесухое,"Италия, 0.75 л., Тоскана, 13%",ВиноТенутеДельНеччиоРоссокрасноесухое.png
92,ВиноТенутеДельНеччиоОрвиетоКлассикобелоесухое,"Италия, 0.75 л., Умбрия, 12.5%",ВиноТенутеДельНеччиоОрвиетоКлассикобелоесухое.png
93,ВиноБетанелиКиндзмарауликрасноеполусладкое,"Грузия, 0.75 л., Кахети, 12%",ВиноБетанелиКиндзмарауликрасноеполусладкое.png
94,ВиноОшторошборИршаиОливербелоесухое,"Венгрия, 0.75 л., Верхняя Венгрия, 11.5%",ВиноОшторошборИршаиОливербелоесухое.png
95,ВиноОшторошборДебрейХаршлевелюбелоеполусухое,"Венгрия, 0.75 л., Верхняя Венгрия, 12.5%",ВиноОшторошборДебрейХаршлевелюбелоеполусухое.png
96,ВиноОшторошЭгриЧиллагбелоесухое,"Венгрия, 0.75 л., Верхняя Венгрия, 12%",ВиноОшторошЭгриЧиллагбелоесухое.png
97,ВиноКалибрКабернеСовиньонМендосакрасноесухое,"Аргентина, 0.75 л., Мендоса, 13.5%",ВиноКалибрКабернеСовиньонМендосакрасноесухое.png
98,ВиноПикколаДжойаМальвазияРубиконеИГТбелоеполусладкое,"Италия, 0.75 л., Эмилия-Романья, 9%",ВиноПикколаДжойаМальвазияРубиконеИГТбелоеполусладкое.png
99,ВиноМарселиноРиохакрасноесухое,"Испания, 0.75 л., Риоха, 13.5%",ВиноМарселиноРиохакрасноесухое.png
100,ВиноБродлифСовиньонБланбелоесухое,"ЮАР, 0.75 л., Вестерн Кейп, 12.5%",ВиноБродлифСовиньонБланбелоесухое.png
101,ВиноБродлифСовиньонБланрозовоесухое,"ЮАР, 0.75 л., Вестерн Кейп, 12.5%",ВиноБродлифСовиньонБланрозовоесухое.png
102,ВиноАльфонсШотарВуврэАОПбелоеполусладкое,"Франция, 0.75 л., Долина Луары, 11.5%",ВиноАльфонсШотарВуврэАОПбелоеполусладкое.png
103,ВиноБадагониАхашеникрасноеполусладкое,"Грузия, 0.75 л., Кахети, 11%",ВиноБадагониАхашеникрасноеполусладкое.png
104,ВиноЭнкосташдаАррабидаТуригаНасионалIGPкрасноесухое,"Португалия, 0.75 л., Полуостров Сетубал, 14%",ВиноЭнкосташдаАррабидаТуригаНасионалIGPкрасноесухое.png
105,ВиноЭнджойКотдеГасконьДомендеДжойбелоесухое,"Франция, 0.75 л., Гасконь, 12%",ВиноЭнджойКотдеГасконьДомендеДжойбелоесухое.png
106,ВиноСолдеПлатаМальбеккрасноесухое,"Аргентина, 0.75 л., Мендоса, 13.5%",ВиноСолдеПлатаМальбеккрасноесухое.png
107,ВиноЛармониРозеАтлантикрозовоесухое,"Франция, 0.75 л., Атлантик, 12%",ВиноЛармониРозеАтлантикрозовоесухое.png
108,ВиноБаудрельиВиорМальбеккрасноесухое,"Аргентина, 0.75 л., Мендоса, 13.5%",ВиноБаудрельиВиорМальбеккрасноесухое.png
109,ВиноЛармониБланБордобелоесухое,"Франция, 0.75 л., Бордо, 12%",ВиноЛармониБланБордобелоесухое.png
110,ВиноКиндзмараулиБадагоникрасноеполусладкое,"Грузия, 0.75 л., Кахети, 11%",ВиноКиндзмараулиБадагоникрасноеполусладкое.png
111,ВиноГипфельклеттернБлауерЦвайгельткрасноеполусухое,"Австрия, 0.75 л., Нижняя Австрия, 12%",ВиноГипфельклеттернБлауерЦвайгельткрасноеполусухое.png
112,ВиноШардонеСтэмпсофзеВорлдбелоеполусухое,"Австралия, 0.75 л., Юго-Восточная Австралия, 12.5%",ВиноШардонеСтэмпсофзеВорлдбелоеполусухое.png
113,ВиноШиразСтэмпсофзеВорлдкрасноеполусухое,"Австралия, 0.75 л., Юго-Восточная Австралия, 13.5%",ВиноШиразСтэмпсофзеВорлдкрасноеполусухое.png
114,ВиноЛизардРислингТрокенПфальцбелоеполусухое,"Германия, 0.75 л., Пфальц, 12%",ВиноЛизардРислингТрокенПфальцбелоеполусухое.png
115,ВиноЛизардРислингбелоеполусладкое,"Германия, 0.75 л., Пфальц, 11%",ВиноЛизардРислингбелоеполусладкое.png
116,ВиноМареАльтаВиньюВердеDOCрозовоеполусухое,"Португалия, 0.75 л., Винью Верде, 10%",ВиноМареАльтаВиньюВердеDOCрозовоеполусухое.png
117,ВиноМареАльтаВиньюВердеDOCбелоеполусухое,"Португалия, 0.75 л., Винью Верде, 10%",ВиноМареАльтаВиньюВердеDOCбелоеполусухое.png
118,ВиноФортеццаДеиКоллиПримитивокрасноеполусухое,"Италия, 0.75 л., Апулия, 13.5%",ВиноФортеццаДеиКоллиПримитивокрасноеполусухое.png
119,ВиноВидальДельСазШардонебелоесухое,"Испания, 0.75 л., Ла Манча, 13.5%",ВиноВидальДельСазШардонебелоесухое.png
120,ВиноСантаЛусАльбаСовиньонБланбелоесухое,"Чили, 0.75 л., Центральная Долина, 12%",ВиноСантаЛусАльбаСовиньонБланбелоесухое.png
121,ВиноСантаЛусАльбаМоскатобелоеполусладкое,"Чили, 0.75 л., Центральная Долина, 12%",ВиноСантаЛусАльбаМоскатобелоеполусладкое.png
122,ВиноВейнцунфтРислингМозельбелоеполусухое,"Германия, 0.75 л., Мозель, 11.5%",ВиноВейнцунфтРислингМозельбелоеполусухое.png
