plu,name,image_small,promo.date_begin,promo.date_end,promo.mech,promo.expired_at,prices.price_regular,prices.price_discount,prices.discount,is_new
4297371,КОРКУНОВ Кол.конф.т/м.шок/фун/ваф/ор165г,products/mini_4297371.jpg,2023-09-14,2023-10-04,,2,569.99,399.99,29,False
2023501,ПОСИДЕЛКИНО Печен.ОВС.класс320г,products/mini_2023501.jpg,2023-09-14,2023-10-04,,2,94.99,69.99,26,False
3206240,ОР.Изд.ЧОКО П.конд.мучн.в гл.с об.д.180г,products/mini_3206240.jpg,2023-09-26,2023-10-02,,0,89.99,69.99,22,False
3358736,КУХМАС.ПеченьеКЛУБНИЧНЫЕ ТАРТАЛЕТКИ240г,products/mini_3358736.jpg,2023-09-14,2023-10-04,,2,94.99,79.99,15,False
3414723,БЕЛОГОРЬЕ Печенье ГОСТОВСКОЕ затяж.240г,products/mini_3414723.jpg,2023-09-14,2023-10-04,,2,55.99,44.99,19,False
3474314,OREO Печенье с какао/нач.с ван.вкус.228г,products/mini_3474314.jpg,2023-09-14,2023-10-04,,2,179.99,149.99,16,False
3632837,BELVITA Печенье УТРЕН.фунд/мед.вит.225г,products/mini_3632837.jpg,2023-09-26,2023-10-02,,0,146.99,89.99,38,False
3632838,BELVITA Печенье УТРЕН.злак.хлоп.вит.225г,products/mini_3632838.jpg,2023-09-26,2023-10-02,,0,146.99,89.99,38,False
3632839,BELVITA Печенье УТР.СЭНД.зл/йог.нач.253г,products/mini_3632839.jpg,2023-09-14,2023-10-04,,2,186.99,129.99,30,False
3632899,BELVITA Печен.УТР.СЭНД.зл/как/йог.н.253г,products/mini_3632899.jpg,2023-09-14,2023-10-04,,2,186.99,129.99,30,False
3670173,КРЕМЕНК.Печенье СЛИВОЧНОЕ затяж.180г,products/mini_3670173.jpg,2023-09-26,2023-10-02,,0,59.99,39.99,33,False
