,name,info,image
81,Вино Валле Эрмосо Шардоне белое сухое,"Чили, 0.75 л., Центральная Долина, 10%",Вино Валле Эрмосо Шардоне белое сухое.png
82,Вино выдержанное сортовое Кахури Киндзмараули красное полусладкое,"Грузия, 0.75 л., Кахети, 12%",Вино выдержанное сортовое Кахури Киндзмараули красное полусладкое.png
83,Вино Эль Ниньо и Ла Луна Тинто красное сухое,"Испания, 0.75 л., Утель-Рекена, 13%",Вино Эль Ниньо и Ла Луна Тинто красное сухое.png
84,Вино Эль Ниньо и Ла Луна Бланко белое сухое,"Испания, 0.75 л., Утель-Рекена, 11.5%",Вино Эль Ниньо и Ла Луна Бланко белое сухое.png
85,Вино Лармони Руж Вин де Бордо красное сухое,"Франция, 0.75 л., Бордо, 13.5%",Вино Лармони Руж Вин де Бордо красное сухое.png
86,Вино Мар и Луна Каберне Фран красное сухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино Мар и Луна Каберне Фран красное сухое.png
87,Вино Мар и Луна Гарнача Тинторера красное сухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино Мар и Луна Гарнача Тинторера красное сухое.png
88,Вино Риттер Блауфренкиш Шлосс Раггендорф красное сухое,"Австрия, 0.75 л., Бургенланд, 13%",Вино Риттер Блауфренкиш Шлосс Раггендорф красное сухое.png
89,Вино Грилло белое полусухое,"Италия, 0.75 л., Сицилия, 12.5%",Вино Грилло белое полусухое.png
90,Вино Фортецца деи Колли Негроамаро красное полусухое,"Италия, 0.75 л., Апулия, 13%",Вино Фортецца деи Колли Негроамаро красное полусухое.png
91,Вино Тенуте Дель Неччио Россо красное сухое,"Италия, 0.75 л., Тоскана, 13%",Вино Тенуте Дель Неччио Россо красное сухое.png
92,Вино Тенуте Дель Неччио Орвието Классико белое сухое,"Италия, 0.75 л., Умбрия, 12.5%",Вино Тенуте Дель Неччио Орвието Классико белое сухое.png
93,Вино Бетанели Киндзмараули красное полусладкое,"Грузия, 0.75 л., Кахети, 12%",Вино Бетанели Киндзмараули красное полусладкое.png
94,Вино Ошторошбор Иршаи Оливер белое сухое,"Венгрия, 0.75 л., Верхняя Венгрия, 11.5%",Вино Ошторошбор Иршаи Оливер белое сухое.png
95,Вино Ошторошбор Дебрей Харшлевелю белое полусухое,"Венгрия, 0.75 л., Верхняя Венгрия, 12.5%",Вино Ошторошбор Дебрей Харшлевелю белое полусухое.png
96,Вино Ошторош Эгри Чиллаг белое сухое,"Венгрия, 0.75 л., Верхняя Венгрия, 12%",Вино Ошторош Эгри Чиллаг белое сухое.png
97,Вино Калибр Каберне Совиньон Мендоса красное сухое,"Аргентина, 0.75 л., Мендоса, 13.5%",Вино Калибр Каберне Совиньон Мендоса красное сухое.png
98,Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое,"Италия, 0.75 л., Эмилия-Романья, 9%",Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое.png
99,Вино Марселино Риоха красное сухое,"Испания, 0.75 л., Риоха, 13.5%",Вино Марселино Риоха красное сухое.png
100,Вино Бродлиф Совиньон Блан белое сухое,"ЮАР, 0.75 л., Вестерн Кейп, 12.5%",Вино Бродлиф Совиньон Блан белое сухое.png
101,Вино Бродлиф Совиньон Блан розовое сухое,"ЮАР, 0.75 л., Вестерн Кейп, 12.5%",Вино Бродлиф Совиньон Блан розовое сухое.png
102,Вино Альфонс Шотар Вуврэ АОП белое полусладкое,"Франция, 0.75 л., Долина Луары, 11.5%",Вино Альфонс Шотар Вуврэ АОП белое полусладкое.png
103,Вино Бадагони Ахашени красное полусладкое,"Грузия, 0.75 л., Кахети, 11%",Вино Бадагони Ахашени красное полусладкое.png
104,Вино Энкосташ да Аррабида Турига Насионал IGP красное сухое,"Португалия, 0.75 л., Полуостров Сетубал, 14%",Вино Энкосташ да Аррабида Турига Насионал IGP красное сухое.png
105,Вино Энджой Кот де Гасконь Домен де Джой белое сухое,"Франция, 0.75 л., Гасконь, 12%",Вино Энджой Кот де Гасконь Домен де Джой белое сухое.png
106,Вино Сол де Плата Мальбек красное сухое,"Аргентина, 0.75 л., Мендоса, 13.5%",Вино Сол де Плата Мальбек красное сухое.png
107,Вино Лармони Розе Атлантик розовое сухое,"Франция, 0.75 л., Атлантик, 12%",Вино Лармони Розе Атлантик розовое сухое.png
108,Вино Баудрель и Виор Мальбек красное сухое,"Аргентина, 0.75 л., Мендоса, 13.5%",Вино Баудрель и Виор Мальбек красное сухое.png
109,Вино Лармони Блан Бордо белое сухое,"Франция, 0.75 л., Бордо, 12%",Вино Лармони Блан Бордо белое сухое.png
110,Вино Киндзмараули Бадагони красное полусладкое,"Грузия, 0.75 л., Кахети, 11%",Вино Киндзмараули Бадагони красное полусладкое.png
111,Вино Гипфельклеттерн Блауер Цвайгельт красное полусухое,"Австрия, 0.75 л., Нижняя Австрия, 12%",Вино Гипфельклеттерн Блауер Цвайгельт красное полусухое.png
112,Вино Шардоне Стэмпс оф зе Ворлд белое полусухое,"Австралия, 0.75 л., Юго-Восточная Австралия, 12.5%",Вино Шардоне Стэмпс оф зе Ворлд белое полусухое.png
113,Вино Шираз Стэмпс оф зе Ворлд красное полусухое,"Австралия, 0.75 л., Юго-Восточная Австралия, 13.5%",Вино Шираз Стэмпс оф зе Ворлд красное полусухое.png
114,Вино Лизард Рислинг Трокен Пфальц белое полусухое,"Германия, 0.75 л., Пфальц, 12%",Вино Лизард Рислинг Трокен Пфальц белое полусухое.png
115,Вино Лизард Рислинг белое полусладкое,"Германия, 0.75 л., Пфальц, 11%",Вино Лизард Рислинг белое полусладкое.png
116,Вино Маре Альта Винью Верде DOC розовое полусухое,"Португалия, 0.75 л., Винью Верде, 10%",Вино Маре Альта Винью Верде DOC розовое полусухое.png
117,Вино Маре Альта Винью Верде DOC белое полусухое,"Португалия, 0.75 л., Винью Верде, 10%",Вино Маре Альта Винью Верде DOC белое полусухое.png
118,Вино Фортецца Деи Колли Примитиво красное полусухое,"Италия, 0.75 л., Апулия, 13.5%",Вино Фортецца Деи Колли Примитиво красное полусухое.png
119,Вино Видаль Дель Саз Шардоне белое сухое,"Испания, 0.75 л., Ла Манча, 13.5%",Вино Видаль Дель Саз Шардоне белое сухое.png
120,Вино Санта Лус Альба Совиньон Блан белое сухое,"Чили, 0.75 л., Центральная Долина, 12%",Вино Санта Лус Альба Совиньон Блан белое сухое.png
121,Вино Санта Лус Альба Москато белое полусладкое,"Чили, 0.75 л., Центральная Долина, 12%",Вино Санта Лус Альба Москато белое полусладкое.png
122,Вино Вейнцунфт Рислинг Мозель белое полусухое,"Германия, 0.75 л., Мозель, 11.5%",Вино Вейнцунфт Рислинг Мозель белое полусухое.png
123,Вино Пьетраме Монтепульчано ДАбруццо DOP красное полусухое,"Италия, 0.75 л., Абруццо, 13%",Вино Пьетраме Монтепульчано ДАбруццо DOP красное полусухое.png
124,Вино Антико Чеппо Трес Лацио белое полусухое,"Италия, 0.75 л., Лацио, 13%",Вино Антико Чеппо Трес Лацио белое полусухое.png
125,Вино Видаль Дель Саз Темпранильо Крианса красное сухое,"Испания, 0.75 л., Ла Манча, 13.5%",Вино Видаль Дель Саз Темпранильо Крианса красное сухое.png
126,Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,"Италия, 0.75 л., Абруццо, 12.5%",Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое.png
127,Вино Терра Вега Резерва Каберне Совиньон красное сухое,"Чили, 0.75 л., Долина Колчагуа, 14%",Вино Терра Вега Резерва Каберне Совиньон красное сухое.png
128,Вино Марселино Риоха Крианза красное сухое,"Испания, 0.75 л., Риоха, 14%",Вино Марселино Риоха Крианза красное сухое.png
129,Портвейн Гравураш ду Коа Порто Тони красный сладкий,"Португалия, 0.75 л., Дору, 19%",Портвейн Гравураш ду Коа Порто Тони красный сладкий.png
130,Вино КабернеСаперави Квеври Кахури Гвинис Марани красное сухое,"Грузия, 0.75 л., Кахети, 11%",Вино КабернеСаперави Квеври Кахури Гвинис Марани красное сухое.png
131,Вино Анжу Домен ДАврийе Каберне Фран красное сухое,"Франция, 0.75 л., Долина Луары, 12%",Вино Анжу Домен ДАврийе Каберне Фран красное сухое.png
132,Вино Катарсис Дарк Бленд красное сухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино Катарсис Дарк Бленд красное сухое.png
133,Вино Катарсис Рэд Бленд красное сухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино Катарсис Рэд Бленд красное сухое.png
134,Вино Вейнцунфт Совиньон Блан Рейнхессен белое сухое,"Германия, 0.75 л., Рейнхессен, 12%",Вино Вейнцунфт Совиньон Блан Рейнхессен белое сухое.png
135,Вино Кальдора Мальвазия Шардоне Терре ди Кьети белое сухое,"Италия, 0.75 л., Абруццо, 12%",Вино Кальдора Мальвазия Шардоне Терре ди Кьети белое сухое.png
136,Вино Арт Нуво Мускателлер Пфаффль белое полусухое,"Австрия, 0.75 л., Нижняя Австрия, 13.5%",Вино Арт Нуво Мускателлер Пфаффль белое полусухое.png
137,Вино Тенуте Россетти Бьянко Тоскана IGP белое полусухое,"Италия, 0.75 л., Тоскана, 12.5%",Вино Тенуте Россетти Бьянко Тоскана IGP белое полусухое.png
138,Вино Пьетраме Эдицьене Лимитата Шардоне Пассерина белое полусухое,"Италия, 0.75 л., Абруццо, 12.5%",Вино Пьетраме Эдицьене Лимитата Шардоне Пассерина белое полусухое.png
139,Вино Корезей Пино Гриджио Делле Венецие белое сухое,"Италия, 0.75 л., Венето, 12%",Вино Корезей Пино Гриджио Делле Венецие белое сухое.png
140,Вино Пьетраме Монтепульчано ДАбруццо Эдиционе Лимитата красное полусухое,"Италия, 0.75 л., Абруццо, 13%",Вино Пьетраме Монтепульчано ДАбруццо Эдиционе Лимитата красное полусухое.png
141,Вино Терра Вега Резерва Пино Нуар красное сухое,"Чили, 0.75 л., Долина Лейда, 13.5%",Вино Терра Вега Резерва Пино Нуар красное сухое.png
142,Вино Мюскаде Севр Э Мэн Сюр Ли Шато Де Ла Мушетье белое сухое,"Франция, 0.75 л., Долина Луары, 12%",Вино Мюскаде Севр Э Мэн Сюр Ли Шато Де Ла Мушетье белое сухое.png
143,Вино Кальдора Санджовезе Мерло красное полусухое,"Италия, 0.75 л., Абруццо, 13.5%",Вино Кальдора Санджовезе Мерло красное полусухое.png
144,Вино Мирони Киндзмараули красное полусладкое,"Грузия, 0.75 л., Кахети, 12%",Вино Мирони Киндзмараули красное полусладкое.png
145,Вино Мукузани Бадагони красное сухое,"Грузия, 0.75 л., Кахети, 13%",Вино Мукузани Бадагони красное сухое.png
146,Вино Меццакорона Делиза Пино Гриджио Розе розовое сухое,"Италия, 0.75 л., Трентино-Альто Адидже, 12.5%",Вино Меццакорона Делиза Пино Гриджио Розе розовое сухое.png
147,Вино СтПьер де Сержак Ренессанс Лангедок AOП красное сухое,"Франция, 0.75 л., Лангедок Руссийон, 13.5%",Вино СтПьер де Сержак Ренессанс Лангедок AOП красное сухое.png
148,Вино Стеммари Пино Гриджио Сицилия IGT белое сухое,"Италия, 0.75 л., Сицилия, 13%",Вино Стеммари Пино Гриджио Сицилия IGT белое сухое.png
149,Вино Стеммари Москато Сицилия IGT белое сладкое,"Италия, 0.75 л., Сицилия, 8.5%",Вино Стеммари Москато Сицилия IGT белое сладкое.png
150,Портвейн Гравураш ду Коа Порто Руби красный сладкий,"Португалия, 0.75 л., Дору, 19%",Портвейн Гравураш ду Коа Порто Руби красный сладкий.png
151,Вино Гармония Винария Вера белое сухое,"Босния и Герцеговина, 0.75 л., Требинье, 13.5%",Вино Гармония Винария Вера белое сухое.png
152,Вино Масет Дель Льео Гарнача Негра Эдисьон Лемитада красное сухое,"Испания, 0.75 л., Каталония, 14%",Вино Масет Дель Льео Гарнача Негра Эдисьон Лемитада красное сухое.png
153,Вино Умбрия Блан Иль де Боте Казанова белое сухое,"Франция, 0.75 л., Корсика, 12%",Вино Умбрия Блан Иль де Боте Казанова белое сухое.png
154,Вино Умбрия Руж Иль де Боте Казанова красное сухое,"Франция, 0.75 л., Корсика, 12.5%",Вино Умбрия Руж Иль де Боте Казанова красное сухое.png
155,Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое,"Италия, 0.75 л., Тоскана, 13%",Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое.png
