web-scraper-order,web-scraper-start-url,catecories,catecories-href,product,product-href,name,price,pic_url-src,address,pic_url_slide-src
1698541664-296,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9653,Сухарики КИРИЕШКИ СТЕЙК СОУС БАРБЕКЮ 60Г/25МЛ,44.99 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN3V3SVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--53ef1dcef79d05d86ae7302b3f9ba3ca5f683239/16ba9d31-3ce7-11ee-9a31-005056011b5d.jpeg
1698541666-286,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/5447,Семечки ОТ МАРТИНА ОТБОРНЫЕ ПОЛОСАТЫЕ С СОЛЬЮ 75Г,49.29 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUUwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4187e14275c98548cbf647b642a37c6b2f396a0f/c929b859-31e1-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541671-297,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9752,Сухарики КИРИЕШКИ ВЕТЧИНА СЫР 100Г,44.99 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM3FISVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--15f029d4c44872cfa954ddb3ed0559a2ea68157e/725dd05a-1fd9-11ee-9a2e-005056011b5d.jpeg
1698541673-287,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/2227,Семечки МОЛОДЕЖНЫЕ 200Г,48.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2dWIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f22fea90e0af711769506c4de6e9135a7e3cc4c2/d9dbe5b9-494b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541678-298,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/414,Арахис ДЖАЗ ЖАРЕНЫЙ СОЛЕНЫЙ 40Г,39.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdjhEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--96d566cec6bd641d19d7780beed23aed486ae661/cdd32ee4-494b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541680-288,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/2096,Семечки ОТ МАРТИНА ОТБОРНЫЕ ЖАРЕНЫЕ ПРЕМИУМ 100Г,47.89 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNlZDSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ca26c93c9dfdf992b1501a97d877eed9dbd29826/4adb2eab-efd0-11ed-9a2d-005056011b5d.jpeg
1698541685-299,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/4153,Арахис в хрустящей оболочке SEVEN NUTS СО ВКУСОМ СЫРА 50Г,39.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb01uIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c5a5109342f8cd052b64132698f41ad3b389d268/d051673d-4966-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541687-289,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/167,Кукурузные палочки CHEETOS КЕТЧУП 50Г,47.29 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOFZYSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5d15a126547408dfd4fab06b30606eb4d07df8c3/a61eae1b-fe12-11ed-9a2d-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541693-300,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/4109,Арахис в хрустящей оболочке SEVEN NUTS СО ВКУСОМ ВАСАБИ 50Г,39.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGduIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d6769fa7c0938f9f6ac6f8463f0aaf46e1c68799/568ce683-31e3-11ec-8169-00155d420661.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541694-290,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/6220,Кукурузные палочки CHEETOS СЫР 50Г,47.29 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN3RYSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--40d79c63c1ee39729368681e75521f0dc30e6111/a33bd8a1-fe05-11ed-9a2d-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541696-291,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/8032,Чипсы BON GIORNO КАРАМЕЛИЗОВАННЫЙ ЛУК С СЫРОМ 80Г,46.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMzM0SUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2b8684dd9378b53237e9b07e28836536b5c6b052/579e188d-bce3-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541700-301,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/8709,Тараллини NINA FARINA C ЧЕСНОКОМ 180Г,39.89 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNkh1SUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d9ad2b92f81da36fa62e1338c9eccda224976309/a147e389-b83a-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541703-292,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9305,Чипсы РУССКАЯ КАРТОШКА СМЕТАНА И УКРОП 80Г,45.49 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeU5FSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f0eae8006fe5ab6018b82c099de5a7f345d470a2/d31a82ef-f096-11ed-9a2d-005056011b5d.jpeg
1698541707-302,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/3602,Рыбка янтарная BEERKA С ПЕРЦЕМ 25Г,38.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFFpIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d7baf65736ce4c33a2e28acf5ce5a5379388e131/7cc0eb21-4937-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541710-293,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/3308,Чипсы РУССКАЯ КАРТОШКА КУРИЦА 80Г,45.49 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcElmIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cefd0bb613ad388cc95127ca95da38964528c110/cd2a083f-493c-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
